Pair_Name,Ligand_ApprovedSymbol,Ligand_Name,Receptor_ApprovedSymbol,Receptor_Name,DLRP,HPMR,IUPHAR,HPRD,STRING_binding,STRING_experiment,HPMR_Ligand,HPMR_Receptor,PMID_Manual,Pair_Source,Pair_Evidence
ADIPOQ_ADIPOR2,Adipoq,"adiponectin, C1Q and collagen domain containing",Adipor2,"adiponectin receptor 2",,HPMR,,HPRD,,,ADIPOQ,ADIPOR2,"",known,literature supported
ADM2_CALCR,Adm2,"adrenomedullin 2",Calcr,"calcitonin receptor",,,IUPHAR,,,,ADM2,CALCR,"",known,literature supported
ADM2_CALCRL,Adm2,"adrenomedullin 2",Calcrl,"calcitonin receptor-like",,HPMR,,,,,ADM2,CALCRL,"",known,literature supported
ADM2_RAMP1,Adm2,"adrenomedullin 2",Ramp1,"receptor (G protein-coupled) activity modifying protein 1",,HPMR,,,,,ADM2,RAMP1,"",known,literature supported
ADM_CALCR,Adm,"adrenomedullin",Calcr,"calcitonin receptor",,,IUPHAR,,,,ADM,CALCR,"",known,literature supported
ADM_CALCRL,Adm,"adrenomedullin",Calcrl,"calcitonin receptor-like",,HPMR,,HPRD,,,ADM,CALCRL,"",known,literature supported
ADM_GPR182,Adm,"adrenomedullin",Gpr182,"G protein-coupled receptor 182",,HPMR,,,,,ADM,ADMR,"",known,literature supported
ADM_RAMP2,Adm,"adrenomedullin",Ramp2,"receptor (G protein-coupled) activity modifying protein 2",,HPMR,,,,,ADM,RAMP2,"",known,literature supported
AGRN_ATP1A3,Agrn,"agrin",Atp1a3,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",,,,,STRING.binding,,,,"16630822",novel,literature supported
AGRN_LRP4,Agrn,"agrin",Lrp4,"low density lipoprotein receptor-related protein 4",,,,,,,,,"18848351",novel,literature supported
AGRN_MUSK,Agrn,"agrin",Musk,"muscle, skeletal, receptor tyrosine kinase",,HPMR,,,,,,MUSK,"",known,literature supported
AGRP_MC3R,Agrp,"agouti related protein homolog (mouse)",Mc3r,"melanocortin 3 receptor",,HPMR,IUPHAR,HPRD,STRING.binding,,AGRP,MC3R,"",known,literature supported
AGRP_MC4R,Agrp,"agouti related protein homolog (mouse)",Mc4r,"melanocortin 4 receptor",,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,AGRP,MC4R,"",known,literature supported
AGRP_MC5R,Agrp,"agouti related protein homolog (mouse)",Mc5r,"melanocortin 5 receptor",,,IUPHAR,HPRD,,,AGRP,MC5R,"",known,literature supported
AGRP_SDC3,Agrp,"agouti related protein homolog (mouse)",Sdc3,"syndecan 3",,,,,STRING.binding,,AGRP,SDC3,"11461706",novel,literature supported
AGT_AGTR1,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",Agtr1a,"angiotensin II receptor, type 1",,HPMR,IUPHAR,HPRD,,,AGT,AGTR1,"",known,literature supported
AGT_AGTR2,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",Agtr2,"angiotensin II receptor, type 2",,HPMR,IUPHAR,HPRD,,,AGT,AGTR2,"",known,literature supported
AGT_LRP2,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",Lrp2,"low density lipoprotein receptor-related protein 2",,HPMR,,,,,AGT,LRP2,"",known,literature supported
AGT_MAS1,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",Mas1,"MAS1 oncogene",,HPMR,,HPRD,,,AGT,MAS1,"",known,literature supported
AHSG_INSR,Ahsg,"alpha-2-HS-glycoprotein",Insr,"insulin receptor",,,,HPRD,,,,INSR,"",novel,literature supported
ALB_LRP2,Alb,"albumin",Lrp2,"low density lipoprotein receptor-related protein 2",,,,HPRD,STRING.binding,,ALB,LRP2,"",novel,literature supported
AMELY_LAMP1,Amelx,"amelogenin, Y-linked",Lamp1,"lysosomal-associated membrane protein 1",,,,,,,,,"20382373",novel,literature supported
AMH_ACVR1,Amh,"anti-Mullerian hormone",Acvr1,"activin A receptor, type I",,,,,STRING.binding,,AMH,ACVR1,"14656470",novel,literature supported
AMH_AMHR2,Amh,"anti-Mullerian hormone",Amhr2,"anti-Mullerian hormone receptor, type II",DLRP,HPMR,,HPRD,STRING.binding,,AMH,AMHR2,"",known,literature supported
AMH_EGFR,Amh,"anti-Mullerian hormone",Egfr,"epidermal growth factor receptor",,,,HPRD,,,AMH,EGFR,"",novel,literature supported
ANGPT1_ITGA5,Angpt1,"angiopoietin 1",Itga5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,HPRD,STRING.binding,,ANGPT1,ITGA5,"",novel,literature supported
ANGPT1_TEK,Angpt1,"angiopoietin 1",Tek,"TEK tyrosine kinase, endothelial",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,ANGPT1,TEK,"",known,literature supported
ANGPT1_TIE1,Angpt1,"angiopoietin 1",Tie1,"tyrosine kinase with immunoglobulin-like and EGF-like domains 1",,HPMR,,,,,ANGPT1,TIE1,"",known,literature supported
ANGPT2_TEK,Angpt2,"angiopoietin 2",Tek,"TEK tyrosine kinase, endothelial",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,ANGPT2,TEK,"",known,literature supported
ANGPT4_TEK,Angpt4,"angiopoietin 4",Tek,"TEK tyrosine kinase, endothelial",,,IUPHAR,HPRD,STRING.binding,STRING.experiment,,TEK,"",known,literature supported
ANGPTL1_TEK,Angptl1,"angiopoietin-like 1",Tek,"TEK tyrosine kinase, endothelial",DLRP,,,HPRD,,,,TEK,"",known,literature supported
ANGPTL3_ITGA5,Angptl3,"angiopoietin-like 3",Itga5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,HPRD,,,,ITGA5,"",novel,literature supported
ANGPTL3_ITGAV,Angptl3,"angiopoietin-like 3",Itgav,"integrin, alpha V",,,,HPRD,STRING.binding,,,ITGAV,"",novel,literature supported
ANGPTL3_ITGB3,Angptl3,"angiopoietin-like 3",Itgb3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",,,,HPRD,,,,ITGB3,"",novel,literature supported
ANXA1_DYSF,Anxa1,"annexin A1",Dysf,"dysferlin",,,,HPRD,STRING.binding,,ANXA1,,"",novel,literature supported
ANXA1_EGFR,Anxa1,"annexin A1",Egfr,"epidermal growth factor receptor",,,,HPRD,STRING.binding,,ANXA1,EGFR,"",novel,literature supported
ANXA1_FPR1,Anxa1,"annexin A1",Fpr1,"formyl peptide receptor 1",,HPMR,IUPHAR,HPRD,,,ANXA1,FPR1,"",known,literature supported
ANXA1_FPR2,Anxa1,"annexin A1",Fpr2,"formyl peptide receptor 2",,,IUPHAR,,STRING.binding,,ANXA1,FPRL1,"",known,literature supported
APLN_APLNR,Apln,"apelin",Aplnr,"apelin receptor",,HPMR,IUPHAR,HPRD,STRING.binding,,APLN,AGTRL1,"",known,literature supported
APOB_LDLR,Apob,"apolipoprotein B",Ldlr,"low density lipoprotein receptor",,HPMR,,HPRD,STRING.binding,,APOB,LDLR,"",known,literature supported
APOB_LRP2,Apob,"apolipoprotein B",Lrp2,"low density lipoprotein receptor-related protein 2",,,,HPRD,,,APOB,LRP2,"",novel,literature supported
APOB_LSR,Apob,"apolipoprotein B",Lsr,"lipolysis stimulated lipoprotein receptor",,,,,STRING.binding,,APOB,,"7615497",novel,literature supported
APOB_OLR1,Apob,"apolipoprotein B",Olr1,"oxidized low density lipoprotein (lectin-like) receptor 1",,,,,STRING.binding,,APOB,OLR1,"9763524",novel,literature supported
APOD_LEPR,Apod,"apolipoprotein D",Lepr,"leptin receptor",,,,HPRD,STRING.binding,,,LEPR,"",novel,literature supported
APOE_LDLR,Apoe,"apolipoprotein E",Ldlr,"low density lipoprotein receptor",,HPMR,,HPRD,STRING.binding,,APOE,LDLR,"",known,literature supported
APOE_LRP1,Apoe,"apolipoprotein E",Lrp1,"low density lipoprotein receptor-related protein 1",,,,HPRD,STRING.binding,STRING.experiment,APOE,LRP1,"",novel,literature supported
APOE_LRP2,Apoe,"apolipoprotein E",Lrp2,"low density lipoprotein receptor-related protein 2",,,,HPRD,,STRING.experiment,APOE,LRP2,"",novel,literature supported
APOE_LRP5,Apoe,"apolipoprotein E",Lrp5,"low density lipoprotein receptor-related protein 5",,HPMR,,,STRING.binding,,APOE,LRP5,"",known,literature supported
APOE_LRP8,Apoe,"apolipoprotein E",Lrp8,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",,HPMR,,HPRD,STRING.binding,STRING.experiment,APOE,LRP8,"",known,literature supported
APOE_SCARB1,Apoe,"apolipoprotein E",Scarb1,"scavenger receptor class B, member 1",,,,HPRD,STRING.binding,,APOE,SCARB1,"",novel,literature supported
APOE_SORL1,Apoe,"apolipoprotein E",Sorl1,"sortilin-related receptor, L(DLR class) A repeats containing",,HPMR,,,,,APOE,SORL1,"",known,literature supported
APOE_VLDLR,Apoe,"apolipoprotein E",Vldlr,"very low density lipoprotein receptor",,HPMR,,HPRD,STRING.binding,STRING.experiment,APOE,VLDLR,"",known,literature supported
APP_CAV1,App,"amyloid beta (A4) precursor protein",Cav1,"caveolin 1, caveolae protein, 22kDa",,,,HPRD,,,,,"",novel,literature supported
APP_CD74,App,"amyloid beta (A4) precursor protein",Cd74,"CD74 molecule, major histocompatibility complex, class II invariant chain",,,,,,,,,"19849849",novel,literature supported
APP_FPR2,App,"amyloid beta (A4) precursor protein",Fpr2,"formyl peptide receptor 2",,,IUPHAR,,STRING.binding,,,FPRL1,"",known,literature supported
APP_GPC1,App,"amyloid beta (A4) precursor protein",Gpc1,"glypican 1",,,,HPRD,STRING.binding,,,GPC1,"",novel,literature supported
APP_LRP1,App,"amyloid beta (A4) precursor protein",Lrp1,"low density lipoprotein receptor-related protein 1",,,,HPRD,,STRING.experiment,,LRP1,"",novel,literature supported
APP_NCSTN,App,"amyloid beta (A4) precursor protein",Ncstn,"nicastrin",,,,HPRD,,,,NCSTN,"",novel,literature supported
APP_TNFRSF21,App,"amyloid beta (A4) precursor protein",Tnfrsf21,"tumor necrosis factor receptor superfamily, member 21",,,,,STRING.binding,,,TNFRSF21,"19225519",novel,literature supported
AREG_EGFR,Areg,"amphiregulin",Egfr,"epidermal growth factor receptor",DLRP,HPMR,IUPHAR,HPRD,,,AREG,EGFR,"",known,literature supported
AREG_ERBB3,Areg,"amphiregulin",Erbb3,"v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3",,,,,STRING.binding,,AREG,ERBB3,"8702723",novel,literature supported
ARF1_CHRM3,Arf1,"ADP-ribosylation factor 1",Chrm3,"cholinergic receptor, muscarinic 3",,,,HPRD,,,,CHRM3,"",novel,literature supported
ARF1_INSR,Arf1,"ADP-ribosylation factor 1",Insr,"insulin receptor",,,,HPRD,,,,INSR,"",novel,literature supported
ARF1_PLD2,Arf1,"ADP-ribosylation factor 1",Pld2,"phospholipase D2",,,IUPHAR,HPRD,STRING.binding,STRING.experiment,,,"",known,literature supported
ARTN_GFRA1,Artn,"artemin",Gfra1,"GDNF family receptor alpha 1",,,,,STRING.binding,,ARTN,GFRA1,"9883723",novel,literature supported
ARTN_GFRA3,Artn,"artemin",Gfra3,"GDNF family receptor alpha 3",,HPMR,,HPRD,STRING.binding,STRING.experiment,ARTN,GFRA3,"",known,literature supported
ARTN_RET,Artn,"artemin",Ret,"ret proto-oncogene",,HPMR,,,,,ARTN,RET,"",known,literature supported
ASIP_ATRN,a,"agouti signaling protein",Atrn,"attractin",,HPMR,,,,,ASIP,ATRN,"",known,literature supported
ASIP_F11R,a,"agouti signaling protein",F11r,"F11 receptor",,,,HPRD,,,ASIP,,"",novel,literature supported
ASIP_MC1R,a,"agouti signaling protein",Mc1r,"melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)",,HPMR,,HPRD,,,ASIP,MC1R,"",known,literature supported
ASIP_MC2R,a,"agouti signaling protein",Mc2r,"melanocortin 2 receptor (adrenocorticotropic hormone)",,,,HPRD,,,ASIP,MC2R,"",novel,literature supported
ASIP_MC3R,a,"agouti signaling protein",Mc3r,"melanocortin 3 receptor",,,,HPRD,,,ASIP,MC3R,"",novel,literature supported
ASIP_MC4R,a,"agouti signaling protein",Mc4r,"melanocortin 4 receptor",,,,HPRD,,,ASIP,MC4R,"",novel,literature supported
ASIP_MC5R,a,"agouti signaling protein",Mc5r,"melanocortin 5 receptor",,,,HPRD,,,ASIP,MC5R,"",novel,literature supported
AVP_AVPR1A,Avp,"arginine vasopressin",Avpr1a,"arginine vasopressin receptor 1A",,HPMR,IUPHAR,HPRD,,,AVP,AVPR1A,"",known,literature supported
AVP_AVPR1B,Avp,"arginine vasopressin",Avpr1b,"arginine vasopressin receptor 1B",,HPMR,IUPHAR,HPRD,,,AVP,AVPR1B,"",known,literature supported
AVP_AVPR2,Avp,"arginine vasopressin",Avpr2,"arginine vasopressin receptor 2",,HPMR,IUPHAR,HPRD,,,AVP,AVPR2,"",known,literature supported
AVP_OXTR,Avp,"arginine vasopressin",Oxtr,"oxytocin receptor",,,IUPHAR,HPRD,,,AVP,OXTR,"",known,literature supported
AZGP1_ITGAV,Azgp1,"alpha-2-glycoprotein 1, zinc-binding",Itgav,"integrin, alpha V",,,,HPRD,,,,ITGAV,"",novel,literature supported
B2M_HFE,B2m,"beta-2-microglobulin",Hfe,"hemochromatosis",,,,HPRD,STRING.binding,STRING.experiment,,HFE,"",novel,literature supported
BDNF_NGFR,Bdnf,"brain-derived neurotrophic factor",Ngfr,"nerve growth factor receptor",DLRP,,IUPHAR,,STRING.binding,,BDNF,NGFR,"",known,literature supported
BDNF_NTRK2,Bdnf,"brain-derived neurotrophic factor",Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,BDNF,NTRK2,"",known,literature supported
BDNF_SORT1,Bdnf,"brain-derived neurotrophic factor",Sort1,"sortilin 1",,,,HPRD,STRING.binding,STRING.experiment,BDNF,SORT1,"",novel,literature supported
BGN_TLR2,Bgn,"biglycan",Tlr2,"toll-like receptor 2",,,,,STRING.binding,,,TLR2,"16025156",novel,literature supported
BGN_TLR4,Bgn,"biglycan",Tlr4,"toll-like receptor 4",,,,,STRING.binding,,,TLR4,"16025156",novel,literature supported
BMP10_ACVR2A,Bmp10,"bone morphogenetic protein 10",Acvr2a,"activin A receptor, type IIA",DLRP,HPMR,,,,,BMP10,ACVR2A,"",known,literature supported
BMP10_ACVRL1,Bmp10,"bone morphogenetic protein 10",Acvrl1,"activin A receptor type II-like 1",,HPMR,,,,,BMP10,ACVRL1,"",known,literature supported
BMP10_BMPR1A,Bmp10,"bone morphogenetic protein 10",Bmpr1a,"bone morphogenetic protein receptor, type IA",DLRP,HPMR,,,,,BMP10,BMPR1A,"",known,literature supported
BMP10_BMPR1B,Bmp10,"bone morphogenetic protein 10",Bmpr1b,"bone morphogenetic protein receptor, type IB",DLRP,,,,,,BMP10,BMPR1B,"16049014",known,literature supported
BMP10_BMPR2,Bmp10,"bone morphogenetic protein 10",Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",DLRP,HPMR,,,,,BMP10,BMPR2,"",known,literature supported
BMP10_ENG,Bmp10,"bone morphogenetic protein 10",Eng,"endoglin",,,,,,,,,"21737454",novel,literature supported
BMP15_ACVR2A,Bmp15,"bone morphogenetic protein 15",Acvr2a,"activin A receptor, type IIA",DLRP,,,,,,BMP15,ACVR2A,"2419820",known,literature supported
BMP15_BMPR1A,Bmp15,"bone morphogenetic protein 15",Bmpr1a,"bone morphogenetic protein receptor, type IA",DLRP,,,,,,BMP15,BMPR1A,"2419820",known,literature supported
BMP15_BMPR1B,Bmp15,"bone morphogenetic protein 15",Bmpr1b,"bone morphogenetic protein receptor, type IB",DLRP,HPMR,,HPRD,STRING.binding,,BMP15,BMPR1B,"",known,literature supported
BMP15_BMPR2,Bmp15,"bone morphogenetic protein 15",Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",DLRP,HPMR,,,STRING.binding,,BMP15,BMPR2,"",known,literature supported
BMP2_ACVR1,Bmp2,"bone morphogenetic protein 2",Acvr1,"activin A receptor, type I",DLRP,,,HPRD,,,BMP2,ACVR1,"",known,literature supported
BMP2_ACVR2A,Bmp2,"bone morphogenetic protein 2",Acvr2a,"activin A receptor, type IIA",DLRP,,,,STRING.binding,,BMP2,ACVR2A,"21702718",known,literature supported
BMP2_ACVR2B,Bmp2,"bone morphogenetic protein 2",Acvr2b,"activin A receptor, type IIB",DLRP,,,HPRD,STRING.binding,STRING.experiment,BMP2,ACVR2B,"",known,literature supported
BMP2_BMPR1A,Bmp2,"bone morphogenetic protein 2",Bmpr1a,"bone morphogenetic protein receptor, type IA",DLRP,HPMR,,HPRD,,,BMP2,BMPR1A,"",known,literature supported
BMP2_BMPR1B,Bmp2,"bone morphogenetic protein 2",Bmpr1b,"bone morphogenetic protein receptor, type IB",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,BMP2,BMPR1B,"",known,literature supported
BMP2_BMPR2,Bmp2,"bone morphogenetic protein 2",Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,BMP2,BMPR2,"",known,literature supported
BMP2_ENG,Bmp2,"bone morphogenetic protein 2",Eng,"endoglin",,,,HPRD,STRING.binding,,BMP2,ENG,"",novel,literature supported
BMP2_HFE2,Bmp2,"bone morphogenetic protein 2",Hfe2,"hemochromatosis type 2 (juvenile)",,,,,STRING.binding,,BMP2,,"18287331",novel,literature supported
BMP3_ACVR2B,Bmp3,"bone morphogenetic protein 3",Acvr2b,"activin A receptor, type IIB",DLRP,,,,,,,ACVR2B,"22074949",known,literature supported
BMP4_BMPR1A,Bmp4,"bone morphogenetic protein 4",Bmpr1a,"bone morphogenetic protein receptor, type IA",DLRP,HPMR,,HPRD,,,BMP4,BMPR1A,"",known,literature supported
BMP4_BMPR1B,Bmp4,"bone morphogenetic protein 4",Bmpr1b,"bone morphogenetic protein receptor, type IB",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,BMP4,BMPR1B,"",known,literature supported
BMP4_BMPR2,Bmp4,"bone morphogenetic protein 4",Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,BMP4,BMPR2,"",known,literature supported
BMP5_BMPR1A,Bmp5,"bone morphogenetic protein 5",Bmpr1a,"bone morphogenetic protein receptor, type IA",DLRP,,,HPRD,,,,BMPR1A,"",known,literature supported
BMP6_ACVR1,Bmp6,"bone morphogenetic protein 6",Acvr1,"activin A receptor, type I",DLRP,HPMR,,,,,BMP6,ACVR1,"",known,literature supported
BMP6_ACVR2A,Bmp6,"bone morphogenetic protein 6",Acvr2a,"activin A receptor, type IIA",DLRP,,,HPRD,STRING.binding,STRING.experiment,BMP6,ACVR2A,"",known,literature supported
BMP6_BMPR1A,Bmp6,"bone morphogenetic protein 6",Bmpr1a,"bone morphogenetic protein receptor, type IA",DLRP,HPMR,,HPRD,,,BMP6,BMPR1A,"",known,literature supported
BMP6_BMPR1B,Bmp6,"bone morphogenetic protein 6",Bmpr1b,"bone morphogenetic protein receptor, type IB",DLRP,,,HPRD,STRING.binding,,BMP6,BMPR1B,"",known,literature supported
BMP6_BMPR2,Bmp6,"bone morphogenetic protein 6",Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",DLRP,,,HPRD,STRING.binding,STRING.experiment,BMP6,BMPR2,"",known,literature supported
BMP7_ACVR1,Bmp7,"bone morphogenetic protein 7",Acvr1,"activin A receptor, type I",DLRP,HPMR,,HPRD,STRING.binding,,BMP7,ACVR1,"",known,literature supported
BMP7_ACVR2A,Bmp7,"bone morphogenetic protein 7",Acvr2a,"activin A receptor, type IIA",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,BMP7,ACVR2A,"",known,literature supported
BMP7_ACVR2B,Bmp7,"bone morphogenetic protein 7",Acvr2b,"activin A receptor, type IIB",DLRP,,,HPRD,,,BMP7,ACVR2B,"",known,literature supported
BMP7_BMPR1A,Bmp7,"bone morphogenetic protein 7",Bmpr1a,"bone morphogenetic protein receptor, type IA",DLRP,HPMR,,HPRD,,,BMP7,BMPR1A,"",known,literature supported
